Index,Actual Fair Difference,Influence Fair Difference
55,1.4133883613320908e-05,1.400019684114852e-05
56,2.8263722006149905e-06,2.804122108971971e-06
57,-1.1272952755131405e-05,-1.1253854179199993e-05
58,1.4355602534599221e-05,1.4290051146023649e-05
59,-3.1159926014434625e-06,-3.021120832561626e-06
60,3.961382547401637e-05,3.953436366454586e-05
61,1.1027105526750791e-06,1.0754733964680255e-06
62,5.253944655311815e-05,5.188427436315447e-05
63,-4.958028600787756e-05,-4.9238602090398634e-05
64,-5.3386478634065426e-05,-5.3310591211570954e-05
65,5.161285796306814e-06,5.122441621325973e-06
66,3.40137802512519e-06,3.3360799805966313e-06
67,-4.693177016235062e-06,-4.6964955658399e-06
68,1.5955641411435906e-06,1.5660369675791112e-06
69,-4.343872138656835e-06,-4.334551530668681e-06
70,4.513081167467625e-05,4.496772909183873e-05
71,2.6946084619172694e-07,2.5510193465115343e-07
72,1.981875490286722e-05,1.944694968810994e-05
73,1.7940041614983304e-05,1.7764765326767168e-05
74,-1.2770992741106824e-07,-1.6322023860186891e-07
75,8.247882705614273e-05,8.191638387567313e-05
76,3.0398357480643234e-06,2.922068242231707e-06
77,1.1074749279027518e-06,1.08857663486852e-06
78,-1.2996202094800458e-05,-1.296285757065842e-05
79,-2.582335343614961e-05,-2.466172993242818e-05
80,5.239387645761262e-05,4.8691890460850325e-05
81,-2.0104173905632905e-05,-2.00819813715007e-05
82,-3.169793759694173e-07,-3.4920421656552274e-07
83,2.627345015493443e-06,2.6014951579758596e-06
84,6.024107616797725e-06,5.972355282887349e-06
85,-4.29104869781316e-06,-4.263051348788236e-06
86,-1.9930844120774616e-05,-1.988364560917788e-05
87,-1.9569803503871608e-05,-1.9562923879867456e-05
88,-1.8497083756785493e-05,-1.8461979803283817e-05
89,-1.1610486212731974e-05,-1.145939310452715e-05
90,2.581509334070864e-05,2.5698265822225004e-05
91,-3.253651363324672e-05,-3.24297896684727e-05
92,-2.505760822646419e-05,-2.486813653494274e-05
93,1.106210401058405e-09,-1.1589406495940804e-08
94,8.628706192892466e-07,8.418845086032365e-07
95,6.120920032115507e-05,6.004669723884301e-05
96,-3.711784749282909e-07,-3.8493947196906625e-07
97,-7.078135169175104e-05,-7.013688516274592e-05
98,3.146931148834131e-06,3.118710770553753e-06
99,-7.450034127132188e-05,-7.434735194570511e-05
100,3.700092328084992e-07,3.610132624006928e-07
101,-2.961882605917454e-05,-2.949843776514266e-05
102,1.6946595655653596e-06,1.6735571132312249e-06
103,-3.588726242453877e-06,-3.581892033304652e-06
104,-3.5256894305724096e-06,-3.5300324570421233e-06
105,-4.965052728955754e-07,-5.180682409840525e-07
106,7.72877489785273e-09,1.2414065266347425e-09
107,-5.755318675554344e-06,-5.7533093233752226e-06
108,-1.3967345198012682e-05,-1.3908346979630881e-05
109,-1.7671976781374887e-06,-1.7689156690833846e-06
110,1.029566849275465e-07,7.955534020095783e-08
111,-9.897225626498418e-06,-9.812743722723352e-06
112,-2.1658757343168134e-08,-3.6496755620265714e-08
113,-7.868217966056079e-08,-7.835814971580016e-08
114,7.120357823076073e-06,7.075347139853034e-06
115,-5.437230193444664e-06,-5.3935488123711145e-06
116,1.0588980041081886e-05,1.0534989810169208e-05
117,3.486255032270069e-06,3.460795033256347e-06
118,-8.13324312509689e-07,-8.335018398178532e-07
119,3.375425196450177e-05,3.3440731160531695e-05
120,-2.7194608088476624e-06,-2.7225583810547722e-06
121,-5.5743140531416824e-05,-5.5674486284752906e-05
122,1.5162232785137508e-06,1.4754182256140443e-06
123,1.1959375780579151e-05,1.1866450269648157e-05
124,3.238997152155143e-07,3.0626205896898424e-07
125,-1.7745363594945385e-06,-1.7888251559525777e-06
126,-2.204356446849909e-05,-2.1897067247933568e-05
127,3.0432610931274695e-08,2.1022258263561194e-08
128,3.6428187272230517e-08,-5.626318309486092e-09
129,-2.201680525870664e-05,-2.194080600005399e-05
130,2.835302797338235e-05,2.824457424607064e-05
131,-3.311892626417512e-05,-3.274937731857357e-05
132,-6.384494015132525e-07,-6.491196801843297e-07
133,6.067215577165719e-08,3.5017626045727996e-08
134,3.5563134254679163e-06,3.5358362683118775e-06
135,1.8328507718046172e-05,1.824564246093378e-05
136,4.1065147655339196e-05,4.074748080361372e-05
137,3.0606790311638044e-06,3.030766065095123e-06
138,7.134603762920522e-06,7.085696966179971e-06
139,8.57256489739111e-06,8.526789619724574e-06
140,1.7820020978276396e-07,1.7017543379371567e-07
141,-5.024470800701897e-05,-5.0143734025925556e-05
142,3.3676170824170626e-08,2.4257445173316946e-08
143,-1.0809702783998176e-06,-1.1077170166325067e-06
144,-4.313626615348731e-06,-4.310226731472356e-06
