Index,Actual Util Difference,Influence Util Difference
0,0.007516302485328197,0.006612978616467424
1,-0.041765350580590166,-0.04295876319654786
2,-0.03645536104841085,-0.03709117594380317
3,-0.019735386079901218,-0.01992939918001491
4,7.73478082010115e-05,-8.292777887909273e-05
5,-0.03241654324574483,-0.03236580069419785
6,0.10749030019042038,0.1022674246297409
7,-0.0014409165378310718,-0.0016249129230347117
8,0.01693985562724265,0.016884630730222523
9,0.053379397751996294,0.05235035461283952
10,-0.014522105942432972,-0.014700107703843751
11,-0.00011472019468783401,-0.0009352754290833112
12,-0.07792893127816569,-0.0789879185043193
13,0.016118207434828946,0.012237331533149848
14,-0.03226738795410711,-0.032476676233051026
15,0.014639890830039803,0.01401427052879263
16,-0.00036619974753193674,-0.0005314539617801739
17,0.0757437036659212,0.07243638735530909
18,0.0006044168694643304,0.00041597958521573473
19,-0.01294410808259272,-0.014031832986004675
20,-0.05619697274596547,-0.05642680615204081
21,0.04915539896774135,0.04793295782409685
22,0.02286123963085629,0.0225211565764036
23,0.002478618704572,0.0015987826366053032
24,-0.11728022156285078,-0.11813105672902514
25,-0.000571398737065465,-0.0007365838940564706
26,0.01920892832640675,0.018447940412098948
27,0.1579346354765221,0.14957781474614984
28,0.0054108917752273555,0.005239314194522565
29,-0.008877354749074584,-0.009050944117611232
30,0.0069045464661030564,0.0019759554140805213
31,-0.10659174523743786,-0.10754496155908083
32,-0.020530756964490138,-0.02068508286681104
33,-0.002310879046945047,-0.0024372556619742273
34,-0.013094997426833288,-0.013134331982588062
35,-0.0055877636964396515,-0.005640403268400162
36,-0.0146810809951603,-0.0147673572371372
37,0.013916800286551734,0.012679208616807762
38,-0.009076807788460428,-0.009138964693855365
39,-0.046040541926686274,-0.046091995372261045
40,-0.01671371819156775,-0.0172140132004397
41,0.012407060251916846,0.011497219310699608
42,0.23973174354023286,0.21979191136817733
43,-0.020445612658022583,-0.020775103269675868
44,-0.047144365760686924,-0.04766595662444728
45,0.3090400293831408,0.28075399330286877
46,-0.006170716513224761,-0.006252271142063259
